,id,title,url,is_paid,price,is_practice_test_course,headline,language
88,2947420,caniasERP Genel Bilgilendirme Eğitimi,/course/caniaserp-genel-bilgilendirme-egitimi/,False,Free,False,caniasERP Genel Bilgilendirme Eğitimi,Turkish
89,5018398,MS Excel | Sıfırdan Microsoft Excel Kursu (Başlangıç),/course/ms-excel-sifirdan-microsoft-excel-kursu-baslangic/,False,Free,False,"Başlangıç seviyesinden başlayarak Excel'i uzman seviyesinde öğrenebilirsiniz! Fonksiyonlar, Pivot Tablo, Veri Analizi ..",Turkish
90,4310200,İş Ararken Para Kazanıyorum!,/course/is-ararken-para-kazanyorum/,False,Free,False,"Harekete geç, stresi azalt...",Turkish
91,4215108,İleri Excel Geliştirme ve Uyum Eğitimi,/course/ileri-excel-gelistirme-ve-uyum-egitimi/,False,Free,False,Microsoft Excel'in bilinmezlerini öğrenin!,Turkish
92,2283670,KONUŞMA DÜZEYİNDE İNGİLİZCE ÖĞRENİYORUM,/course/konusma-duzeyinde-ingilizce-ogreniyorum/,False,Free,False,İngilizce Öğreniyorum,Turkish
93,4244472,Adım Adım Kendiyolumuzda,/course/adm-adm-kendiyolumuzda/,False,Free,False,"Elidor X TOG| “Adım Adım Kendi Yolumuzda"" Online Eğitim Serisi",Turkish
94,4650338,japonca JLPT N5 kelime tekrarı,/course/japonca-jlpt-n5-kelime-tekrar/,False,Free,False,jlpt sensei sitesinden ücretsiz indirilen kelime kağıtları ile kelime tekrarı,Turkish
95,5199988,Dahi Beynini Keşfet!,/course/dahi-beynini-kesfet/,False,Free,False,İstediğin Sonuçlara Ulaşmanın Sırrı Kendi Beynini Yönetmekle Başlar....,Turkish
96,3700718,Parfüm kültürü,/course/perfumes/,False,Free,False,Parfümlere dair hızlı bir bakış,Turkish
97,3867228,Sosyal Medya Reklamcılığı ve Uzmanlığı Eğitimi | Online Kurs,/course/sosyalmedyaegitimi/,False,Free,False,Facebook & Instagram Reklamcılığı eğitimi ile sizde ileri seviye bir sosyal medya uzmanı olmak için izlemeye başlayın.,Turkish
98,522048,Bir Saatte Html Öğren,/course/1-saatte-html-ogren/,False,Free,False,Html ile kısa sürede web tasarım yapmaya başlayın.,Turkish
99,5491896,İnsan Okuma Ve Tanıma Sanatı,/course/insan-okuma-ve-tanima-sanati/,True,₺299.99,False,Kişisel Gelişim,Turkish
100,3390538,Yogaya Başlangıç,/course/yogaya-baslangc/,False,Free,False,Yogada temel hareketlerin uygulamalı anlatımı ve tekrarları ile başlangıç seviyesi öğrenciler için kolaylaştırıcı kurs,Turkish
101,5491896,İnsan Okuma Ve Tanıma Sanatı,/course/insan-okuma-ve-tanima-sanati/,True,₺299.99,False,Kişisel Gelişim,Turkish
102,2809737,Yazılıma İlk Adım : Akış Diyagramları Eğitimi,/course/yazilima-ilk-adim-akis-diyagramlari/,False,Free,False,"Programlama Mantığını ve Algoritmaları Anlayın, Akış Şemaları Çizerek Yazılıma Sağlam Bir Giriş Yapın!",Turkish
103,2991914,"Elektrik Proje Çizimi, Metraj, Keşif, Maliyet Hakediş",/course/elektrik-proje-cizimi-metraj-kesif-maliyet-hakedis/,False,Free,False,"Elektrik proje çizimi, tasarımı, hesaplamalar. Örnek Projeler.  Metraj, keşif, yaklaşık maliyet. Mesleki bilgiler",Turkish
104,2805397,[ÜCRETSİZ] Google ADS ADWORDS A'dan Z'ye Reklam Eğitimi,/course/googleads-2020/,False,Free,False,[ +34.000 KURSİYER ] Google Adwords'de Sıfır Noktasından Başlayıp İleri Düzey Stratejilere Doğru İlerleyeceğiz.,Turkish
105,5158596,Psikolojik Yara Bandı,/course/psikolojik-yara-bandi/,False,Free,False,Doğal Afetler Sonrası Kendinize ve Başka İnsanlara Nasıl Yardımcı Olabilirsiniz?,Turkish
106,4866070,Stoksuz e-ticaret amazon,/course/stoksuz-e-ticaret-amazon/,False,Free,False,Amazon dropshipping,Turkish
107,1728322,"Agile Yazılım Geliştirme, Proje ve İnsan Yönetimi Yaklaşımı",/course/agile-yazilim-gelistirme/,False,Free,False,Agile(Çevik) yazılım geliştirme mantalitesini ve bunun proje ve insan yönetimine(Scrum vb.) etkilerini öğrenin,Turkish
108,3074508,Python Programlama Başlangıç Eğitimi - 1.Bölüm,/course/python-programlama-baslangic-kursu-egitimi/,False,Free,False,Dünyanın En Çok Tercih Edilen Yazılım Programlama Dili Olan Python Temellerini ve Nasıl Kullanacağınızı Öğrenin,Turkish
109,4132258,Temel Simulink,/course/temel-simulink/,False,Free,False,Temel Simulink öğrenmek isteyenler için bu kurs faydalı olacaktır.,Turkish
110,1210236,Excel Makro ve VBA Eğitimi-1,/course/excel-makro-ve-vba-egitimi/,False,Free,False,Makrolarla Excelde harikalar yaratın,Turkish
111,4637508,Güç Kazanmanın Sırrı: Problem Çözme Anlayışı,/course/problem-cozucu-birey/,False,Free,False,"Gündelik hayatta, okulda, işyerinde anlamlı ve başarılı bir hayata ulaşmak için problem çözme anlayışı",Turkish
112,3521262,A'dan Z'ye Upwork ile Ihracat Egitimi [2020],/course/upwork-ile-ihracat-egitimi-2020/,False,Free,False,Eger bilgisayar basinda calisiyorsan ve en az orta seviye Ingilizce bilgin varsa sen de rahatlikla ihracat yapabilirsin.,Turkish
113,4475984,Başlangıçtan İleri Seviyeye Moda Stilistlik  - Örnek Dersler,/course/baslangictan-ileri-seviyeye-moda-stilistlik-ornek-dersler/,False,Free,False,Başlangıçtan İleri Seviyeye Moda Stilistlik Kursundan bazı örnek dersleri bu kursta bulabilirsiniz.,Turkish
114,4249256,Trendyol'da Nasıl E-Ticaret Yapılır | Trendyol 2021,/course/trendyolda-nasil-e-ticaret-yapilir-trendyol-2021/,False,Free,False,"E-Ticaret İçinde Türkiye'deki En Yüksek Trafiği Olan Trendyol'da Ürün Araştırma, Tedarikçi Bulma, Satış Nasıl Yapılır?",Turkish
