id,title,url,is_paid,price,is_practice_test_course,headline,language,name_from_site,rating,category,what_u_learn,description
341182,Meet your brain: a short introduction to neuroscience,/course/meet-your-brain/,False,Free,False,Psychology and science. Discover how 4 brainstructures control our emotions and decisions,English,Meet your brain: a short introduction to neuroscience,4.5,"Personal Development,Personal Transformation,Neuroscience","•A groundbreaking model of human behavior
•Understand the mechanism of stress: Discover what part of our brain is responsible for triggering stress
Discover why we sometimes act in a very territorial way, which leads to peacock behavior, bullying and harassment
•Connect with your motivations: Learn the distinction between lasting and temporary motivations.
Learn to recognize obsessive behavior and why it's important to keep it under control
Discover which part of your brain that is responsible for self-control, adaptation, willpower, focus, but also creativity and spirituality",
702210,Python from Beginner to Intermediate in 30 min.,/course/python-from-beginner-to-expert-starter-free/,False,Free,False,Complete Python Programming in 30 min - Get ready for Advanced Concepts.,English,Python from Beginner to Intermediate in 30 min.,4.3,"Development,Programming Languages,Python","Efficiently Program in Python
Understand Basic Python Programming Language
Will get ready to learn advanced python programming concepts",
980984,Python for Absolute Beginners!,/course/free-python/,False,Free,False,Get started coding with one of the most beginner friendly programming languages!,English,Python for Absolute Beginners!,4.5,"Development,Programming Languages,Python","Install Python on Windows, Mac, and Linux
Run scripts in the interpreter
Setup an IDE
Understand programming basics
Write functions & arguments
Develop a calculator application",
3474350,Yoga for Back Health FREE Course - Yoga Alliance YACEP,/course/yoga-for-back-care/,False,Free,False,FREE: Create Long Lasting Change with Yoga for Back Health,English,Yoga for Back Health FREE Course - Yoga Alliance YACEP,4.4,"Health & Fitness,Yoga,Back Pain","Using specific Yoga Practices to maintain back health
Understand how to mitigate back pain using Yoga practices
How to take care of your spine
Understand how to address back health issues & modifying for them",
4626276,Free Lean Six Sigma Introduction Course,/course/lean-six-sigma-introduction-course/,False,Free,False,"Curious about Lean Six Sigma? Here's a brief introduction. 100,000+ certified worldwide. BKO accredited",English,Free Lean Six Sigma Introduction Course,4.3,"Business,Project Management,Lean Six Sigma","You will learn the essence of Lean Six Sigma.
You will learn how Lean and Six Sigma work together.
You will become familiar with some random tools in the Lean Six Sigma toolbox.
You will learn whether Lean Six Sigma is worth pursuing for you and your career.",
131416,Hyperthinking: improve your day to day learning & creativity,/course/hyperthinking-upgrade-your-mind-to-success-on-business/,False,Free,False,Train your mind for success with the right thinking tools and habits!,English,Hyperthinking: improve your day to day learning & creativity,4.5,"Personal Development,Creativity,Creativity","Shift your own perspectives, and get more positive results from your meetings
Be creative in a systematic way and bring more creativity to your work
Achieve success by making the right move at the right time
Develop a better understanding of different perspectives and improve your capacity for empathy
Learn how to find less obvious solutions and stay one step ahead of others
Increase your learning capacity and expand your knowledge resources",
5328100,Start a T-Shirt Business: ChatGPT & Midjourney & Etsy and IA,/course/start-a-t-shirt-business-with-chatgpt-midjourney-etsy/,False,Free,False,Use ChatGPT & Midjourney for T-Shirt Design: Start a Print on Demand Business from Home Chat GPT & Midjourney Etsy & IA.,English,Start a T-Shirt Business: ChatGPT & Midjourney & Etsy and IA,4.7,"Business,Entrepreneurship,T-Shirt Printing","Launch a profitable print-on-demand T-shirt business.
Midjourney & ChatGPT: Create stunning, marketable T-shirt designs using AI.
Master the use of AI tools, specifically ChatGPT and Midjourney, for T-shirt design.
Understand the intricacies of the print-on-demand industry.
Analyze market trends to create designs that resonate with your target audience.
Apply effective marketing strategies to boost your T-shirt sales.
Evaluate the performance of your designs and make necessary improvements.
Adjust your business strategies based on market changes and business performance.
Transform your creative passion into a profitable business venture.
Gain financial independence through your successful T-shirt business.",
3644138,Python for Beginners (2023),/course/python-for-complete-beginners-1/,False,Free,False,A beginner Python course covering all of the basics you need to know,English,Python for Beginners (2023),4.4,"Development,Programming Languages,Python","Python Basics from Scratch
Variables and Data Types in Python
Input/Output in Python
Working with Strings in Python
Working with Numbers in Python (Arithmetic, Functions, etc.)
Conditional Statements in Python
Loops (While, For) in Python
Lists in Python
Tupes in Python
Functions in Python",
5390470,Generative AI: ChatGPT & Game-Changing AI Application- 2023,/course/chatgpt-generative-ai-model2023/,False,Free,False,"Generate Text, Images, Audio & Video: ChatGPT, Stable Diffusion, DALL-E 2, Midjourney, GPT-4, AutoGPT Unleashed in 2023!",English,Generative AI: ChatGPT & Game-Changing AI Application- 2023,4.5,"Office Productivity,Other Office Productivity,Generative AI","Master key generative AI models, including ChatGPT, Stable Diffusion, DALL-E 2, Midjourney, GPT-4, and AutoGPT, to create diverse AI-generated content
Develop advanced prompt engineering techniques and strategies for optimizing results across various domains such as coding, education, law, sports, and media
Understand and address the ethical considerations and biases in generative AI, ensuring responsible AI development and deployment
Apply AI-driven solutions to real-world challenges, boosting productivity and creativity in multiple industries through AI-powered tutoring, content generation",
5439104,ChatGPT Prompt Engineering ( Free Course ),/course/chatgpt-prompt-engineering-free-course/,False,Free,False,Craft Captivating AI prompts: Free Prompt Engineering Course with Real-Life examples!,English,ChatGPT Prompt Engineering ( Free Course ),4.2,"Development,Data Science,Prompt Engineering","Important terms for Prompt Engineering
What is Prompt Engineering?
What is Prompt and types?
Limitations of Large Language Models
Elements of Prompt Engineering
Important Secret Expose in this course
LLM Models Concepts & Terms",
